        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202602130600,   0.763,   2.010,   0.400,   0.847,   2.010,   0.400,   2.010,   0.400,   2.010
202602130606,   0.810,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130612,   0.861,   1.948,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130618,   0.917,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130624,   0.977,   2.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130630,   1.041,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130636,   1.110,   2.358,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130642,   1.184,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130648,   1.262,   2.558,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130654,   1.344,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130700,   1.431,   2.988,   0.400,   1.157,   2.988,   0.300,   2.888,   0.500,   3.088
202602130706,   1.523,   3.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130712,   1.619,   2.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130718,   1.719,   3.017,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130724,   1.824,   3.119,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130730,   1.933,   3.217,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130736,   2.046,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130742,   2.162,   3.440,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130748,   2.282,   3.558,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130754,   2.404,   3.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130800,   2.529,   4.017,   0.400,   1.088,   4.017,   0.400,   4.017,   0.500,   4.117
202602130806,   2.656,   4.119,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130812,   2.784,   3.968,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130818,   2.913,   4.070,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130824,   3.042,   4.188,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130830,   3.170,   4.290,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130836,   3.298,   4.408,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130842,   3.423,   4.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130848,   3.547,   4.628,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130854,   3.668,   4.729,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130900,   3.786,   5.110,   0.400,   0.924,   5.110,   0.400,   5.110,   0.500,   5.210
202602130906,   3.900,   5.228,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130912,   4.011,   5.077,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130918,   4.117,   5.179,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130924,   4.219,   5.267,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130930,   4.316,   5.359,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130936,   4.408,   5.448,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130942,   4.495,   5.549,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130948,   4.577,   5.638,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602130954,   4.654,   5.717,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602131000,   4.725,   5.979,   0.400,   0.854,   5.979,   0.400,   5.979,   0.500,   6.079
202602131006,   4.791,   6.038,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602131012,   4.851,   5.887,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602131018,   4.906,   5.959,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202602131024,   4.955,   6.038,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
